peptide_id	TIGRFAM_id	definition	Evalues
Eucgr.L01311.1.p	TIGR03989,TIGR00692,TIGR02824,TIGR02822,TIGR03366,TIGR02823,TIGR01751,TIGR02818,TIGR01202	TIGR03989[Rxyl_3153: NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family]; TIGR00692[tdh: L-threonine 3-dehydrogenase]; TIGR02824[quinone_pig3: putative NAD(P)H quinone oxidoreductase, PIG3 family]; TIGR02822[adh_fam_2: zinc-binding alcohol dehydrogenase family protein]; TIGR03366[HpnZ_proposed: putative phosphonate catabolism associated alcohol dehydrogenase]; TIGR02823[oxido_YhdH: putative quinone oxidoreductase, YhdH/YhfP family]; TIGR01751[crot-CoA-red: crotonyl-CoA reductase]; TIGR02818[adh_III_F_hyde: S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase]; TIGR01202[bchC: chlorophyll synthesis pathway protein BchC]	TIGR03989[2e-14]; TIGR00692[8.3e-07]; TIGR02824[7.8e-12]; TIGR02822[2.3e-18]; TIGR03366[1.6e-15]; TIGR02823[2e-06]; TIGR01751[8.3e-09]; TIGR02818[9.8e-06]; TIGR01202[3.4e-06]
Eucgr.L01365.1.p	TIGR03216,TIGR04284,TIGR03250,TIGR01238,TIGR01237,TIGR01780,TIGR01804,TIGR03374,TIGR03240,TIGR02299,TIGR01722	TIGR03216[OH_muco_semi_DH: 2-hydroxymuconic semialdehyde dehydrogenase]; TIGR04284[aldehy_Rv0768: aldehyde dehydrogenase, Rv0768 family]; TIGR03250[PhnAcAld_DH: putative phosphonoacetaldehyde dehydrogenase]; TIGR01238[D1pyr5carbox3: delta-1-pyrroline-5-carboxylate dehydrogenase]; TIGR01237[D1pyr5carbox2: putative delta-1-pyrroline-5-carboxylate dehydrogenase]; TIGR01780[SSADH: succinate-semialdehyde dehydrogenase]; TIGR01804[BADH: betaine-aldehyde dehydrogenase]; TIGR03374[ABALDH: 1-pyrroline dehydrogenase]; TIGR03240[arg_catab_astD: succinylglutamate-semialdehyde dehydrogenase]; TIGR02299[HpaE: 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase]; TIGR01722[MMSDH: methylmalonate-semialdehyde dehydrogenase (acylating)]	TIGR03216[8.9e-29]; TIGR04284[3.3e-23]; TIGR03250[1.2e-13]; TIGR01238[1.1e-12]; TIGR01237[1.1e-18]; TIGR01780[4.5e-27]; TIGR01804[1.1e-40]; TIGR03374[6e-29]; TIGR03240[1.7e-11]; TIGR02299[1e-36]; TIGR01722[7.1e-09]
Eucgr.L01367.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[3e-42]
Eucgr.L01389.1.p	TIGR03030	TIGR03030[CelA: cellulose synthase catalytic subunit (UDP-forming)]	TIGR03030[1.8e-11]
Eucgr.L01391.1.p	TIGR03030	TIGR03030[CelA: cellulose synthase catalytic subunit (UDP-forming)]	TIGR03030[1.8e-08]
Eucgr.L01392.1.p	TIGR03030	TIGR03030[CelA: cellulose synthase catalytic subunit (UDP-forming)]	TIGR03030[2.2e-10]
Eucgr.L01410.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[3e-54]
Eucgr.L01436.1.p	TIGR00906,TIGR00908,TIGR00909,TIGR00913,TIGR00911,TIGR04299,TIGR01773,TIGR00907,TIGR03428	TIGR00906[2A0303: cationic amino acid transport permease]; TIGR00908[2A0305: ethanolamine permease]; TIGR00909[2A0306: amino acid transporter]; TIGR00913[2A0310: amino acid permease (yeast)]; TIGR00911[2A0308: L-type amino acid transporter]; TIGR04299[antiport_PotE: putrescine-ornithine antiporter]; TIGR01773[GABAperm: GABA permease]; TIGR00907[2A0304: amino acid permease]; TIGR03428[ureacarb_perm: permease, urea carboxylase system]	TIGR00906[6.2e-158]; TIGR00908[3e-18]; TIGR00909[1.1e-78]; TIGR00913[1.1e-12]; TIGR00911[1.1e-28]; TIGR04299[1.1e-06]; TIGR01773[4.7e-11]; TIGR00907[1.4e-09]; TIGR03428[7e-15]
Eucgr.L01527.1.p	TIGR00479,TIGR00536,TIGR00406,TIGR02469,TIGR03534,TIGR00308	TIGR00479[rumA: 23S rRNA (uracil-5-)-methyltransferase RumA]; TIGR00536[hemK_fam: methyltransferase, HemK family]; TIGR00406[prmA: ribosomal protein L11 methyltransferase]; TIGR02469[CbiT: precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit]; TIGR03534[RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific]; TIGR00308[TRM1: N2,N2-dimethylguanosine tRNA methyltransferase]	TIGR00479[2.2e-08]; TIGR00536[7.1e-07]; TIGR00406[4.8e-07]; TIGR02469[1.1e-05]; TIGR03534[3.7e-05]; TIGR00308[2.2e-06]
Eucgr.L01528.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[2.6e-14]; TIGR03724[1.9e-05]
Eucgr.L01528.2.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[2.5e-14]; TIGR03724[1.8e-05]
Eucgr.L01528.3.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[2e-07]; TIGR03724[1.4e-05]
Eucgr.L01530.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.1e-05]
Eucgr.L01531.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[2e-16]; TIGR03724[1.8e-05]
Eucgr.L01531.2.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[9.9e-16]; TIGR03724[1.8e-05]
Eucgr.L01546.1.p	TIGR00570	TIGR00570[cdk7: CDK-activating kinase assembly factor MAT1]	TIGR00570[6.4e-29]
Eucgr.L01546.2.p	TIGR00570	TIGR00570[cdk7: CDK-activating kinase assembly factor MAT1]	TIGR00570[2.4e-22]
Eucgr.L01548.1.p	TIGR00001	TIGR00001[rpmI_bact: ribosomal protein L35]	TIGR00001[1.6e-23]
Eucgr.L01550.1.p	TIGR01065	TIGR01065[hlyIII: channel protein, hemolysin III family]	TIGR01065[2.7e-11]
Eucgr.L01617.1.p	TIGR03947,TIGR04461,TIGR03801,TIGR04350,TIGR01265,TIGR03539,TIGR03542,TIGR01264,TIGR01141,TIGR01140,TIGR03537,TIGR03540,TIGR03538	TIGR03947[viomycin_VioD: capreomycidine synthase]; TIGR04461[endura_MppQ: enduracididine biosynthesis enzyme MppQ]; TIGR03801[asp_4_decarbox: aspartate 4-decarboxylase]; TIGR04350[C_S_lyase_PatB: putative C-S lyase]; TIGR01265[tyr_nico_aTase: tyrosine/nicotianamine family aminotransferase]; TIGR03539[DapC_actino: succinyldiaminopimelate transaminase]; TIGR03542[DAPAT_plant: LL-diaminopimelate aminotransferase]; TIGR01264[tyr_amTase_E: tyrosine aminotransferase]; TIGR01141[hisC: histidinol-phosphate transaminase]; TIGR01140[L_thr_O3P_dcar: threonine-phosphate decarboxylase]; TIGR03537[DapC: succinyldiaminopimelate transaminase]; TIGR03540[DapC_direct: LL-diaminopimelate aminotransferase]; TIGR03538[DapC_gpp: succinyldiaminopimelate transaminase]	TIGR03947[1.5e-10]; TIGR04461[1.7e-08]; TIGR03801[8.2e-09]; TIGR04350[3.7e-20]; TIGR01265[2.7e-29]; TIGR03539[6.7e-15]; TIGR03542[1.6e-14]; TIGR01264[3.3e-25]; TIGR01141[3.3e-15]; TIGR01140[4.8e-17]; TIGR03537[3.9e-23]; TIGR03540[2.3e-25]; TIGR03538[1.2e-12]
Eucgr.L01637.1.p	TIGR01507,TIGR03463,TIGR01787	TIGR01507[hopene_cyclase: squalene-hopene cyclase]; TIGR03463[osq_cycl: 2,3-oxidosqualene cyclase]; TIGR01787[squalene_cyclas: squalene/oxidosqualene cyclases]	TIGR01507[5.9e-13]; TIGR03463[1.1e-63]; TIGR01787[1.6e-88]
Eucgr.L01656.1.p	TIGR03388,TIGR02376,TIGR03390,TIGR01480,TIGR03389	TIGR03388[ascorbase: L-ascorbate oxidase]; TIGR02376[Cu_nitrite_red: nitrite reductase, copper-containing]; TIGR03390[ascorbOXfungal: L-ascorbate oxidase]; TIGR01480[copper_res_A: copper-resistance protein, CopA family]; TIGR03389[laccase: laccase]	TIGR03388[3.1e-83]; TIGR02376[2.2e-06]; TIGR03390[3.1e-54]; TIGR01480[2.4e-31]; TIGR03389[1.5e-185]
Eucgr.L01759.1.p	TIGR00357	TIGR00357[TIGR00357: methionine-R-sulfoxide reductase]	TIGR00357[7.1e-37]
Eucgr.L01770.1.p	TIGR01991,TIGR02350,TIGR01174,TIGR02529,TIGR00904	TIGR01991[HscA: Fe-S protein assembly chaperone HscA]; TIGR02350[prok_dnaK: chaperone protein DnaK]; TIGR01174[ftsA: cell division protein FtsA]; TIGR02529[EutJ: ethanolamine utilization protein EutJ family protein]; TIGR00904[mreB: cell shape determining protein, MreB/Mrl family]	TIGR01991[2.8e-163]; TIGR02350[3.3e-213]; TIGR01174[1.3e-05]; TIGR02529[3.8e-12]; TIGR00904[1.7e-15]
Eucgr.L01818.1.p	TIGR00837	TIGR00837[araaP: aromatic amino acid transport protein]	TIGR00837[6.2e-09]
Eucgr.L01943.1.p	TIGR01068	TIGR01068[thioredoxin: thioredoxin]	TIGR01068[8.9e-12]
Eucgr.L01988.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[4.8e-57]
Eucgr.L02046.1.p	TIGR03520	TIGR03520[GldE: gliding motility-associated protein GldE]	TIGR03520[2.7e-17]
Eucgr.L02065.1.p	TIGR00231	TIGR00231[small_GTP: small GTP-binding protein domain]	TIGR00231[1.6e-15]
Eucgr.L02066.1.p	TIGR00231	TIGR00231[small_GTP: small GTP-binding protein domain]	TIGR00231[6.4e-09]
Eucgr.L02068.1.p	TIGR00231	TIGR00231[small_GTP: small GTP-binding protein domain]	TIGR00231[7.5e-11]
Eucgr.L02069.1.p	TIGR00231	TIGR00231[small_GTP: small GTP-binding protein domain]	TIGR00231[1.5e-14]
Eucgr.L02103.1.p	TIGR02734,TIGR00562,TIGR02731,TIGR01316,TIGR03197,TIGR03467,TIGR02352,TIGR02733,TIGR02732	TIGR02734[crtI_fam: phytoene desaturase]; TIGR00562[proto_IX_ox: protoporphyrinogen oxidase]; TIGR02731[phytoene_desat: phytoene desaturase]; TIGR01316[gltA: glutamate synthase (NADPH), homotetrameric]; TIGR03197[MnmC_Cterm: tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC, C-terminal domain]; TIGR03467[HpnE: squalene-associated FAD-dependent desaturase]; TIGR02352[thiamin_ThiO: glycine oxidase ThiO]; TIGR02733[desat_CrtD: C-3',4' desaturase CrtD]; TIGR02732[zeta_caro_desat: 9,9'-di-cis-zeta-carotene desaturase]	TIGR02734[3.1e-08]; TIGR00562[1.1e-07]; TIGR02731[1.3e-87]; TIGR01316[1.3e-06]; TIGR03197[1.8e-06]; TIGR03467[8.9e-59]; TIGR02352[3e-05]; TIGR02733[3.4e-05]; TIGR02732[5.4e-274]
Eucgr.L02135.1.p	TIGR02415,TIGR02685,TIGR01289,TIGR01832,TIGR03206,TIGR04316,TIGR01830,TIGR01500,TIGR03971,TIGR04504,TIGR01963,TIGR01831,TIGR02632,TIGR01829	TIGR02415[23BDH: acetoin reductases]; TIGR02685[pter_reduc_Leis: pteridine reductase]; TIGR01289[LPOR: light-dependent protochlorophyllide reductase]; TIGR01832[kduD: 2-deoxy-D-gluconate 3-dehydrogenase]; TIGR03206[benzo_BadH: 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase]; TIGR04316[dhbA_paeA: 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase]; TIGR01830[3oxo_ACP_reduc: 3-oxoacyl-[acyl-carrier-protein] reductase]; TIGR01500[sepiapter_red: sepiapterin reductase]; TIGR03971[SDR_subfam_1: SDR family mycofactocin-dependent oxidoreductase]; TIGR04504[SDR_subfam_2: SDR family mycofactocin-dependent oxidoreductase]; TIGR01963[PHB_DH: 3-hydroxybutyrate dehydrogenase]; TIGR01831[fabG_rel: putative 3-oxoacyl-(acyl-carrier-protein) reductase]; TIGR02632[RhaD_aldol-ADH: rhamnulose-1-phosphate aldolase/alcohol dehydrogenase]; TIGR01829[AcAcCoA_reduct: acetoacetyl-CoA reductase]	TIGR02415[8.2e-17]; TIGR02685[2.8e-07]; TIGR01289[1e-07]; TIGR01832[3.9e-12]; TIGR03206[8.2e-13]; TIGR04316[1.1e-13]; TIGR01830[7.5e-18]; TIGR01500[1e-06]; TIGR03971[3.6e-12]; TIGR04504[7.7e-11]; TIGR01963[3.8e-21]; TIGR01831[6.5e-08]; TIGR02632[1.1e-13]; TIGR01829[1.9e-18]
Eucgr.L02167.1.p	TIGR01645,TIGR01622,TIGR01659,TIGR01642,TIGR01649,TIGR01661,TIGR01628,TIGR01648	TIGR01645[half-pint: poly-U binding splicing factor, half-pint family]; TIGR01622[SF-CC1: splicing factor, CC1-like family]; TIGR01659[sex-lethal: sex-lethal family splicing factor]; TIGR01642[U2AF_lg: U2 snRNP auxilliary factor, large subunit, splicing factor]; TIGR01649[hnRNP-L_PTB: hnRNP-L/PTB/hephaestus splicing factor family]; TIGR01661[ELAV_HUD_SF: ELAV/HuD family splicing factor]; TIGR01628[PABP-1234: polyadenylate binding protein, human types 1, 2, 3, 4 family]; TIGR01648[hnRNP-R-Q: hnRNP-R, Q splicing factor family]	TIGR01645[8e-10]; TIGR01622[2.6e-31]; TIGR01659[9.2e-14]; TIGR01642[6.1e-11]; TIGR01649[7.4e-12]; TIGR01661[3.3e-19]; TIGR01628[1.5e-27]; TIGR01648[2.2e-12]
Eucgr.L02171.1.p	TIGR00837	TIGR00837[araaP: aromatic amino acid transport protein]	TIGR00837[1.7e-08]
Eucgr.L02171.2.p	TIGR00837	TIGR00837[araaP: aromatic amino acid transport protein]	TIGR00837[1.7e-08]
Eucgr.L02171.3.p	TIGR00837	TIGR00837[araaP: aromatic amino acid transport protein]	TIGR00837[8.1e-09]
Eucgr.L02203.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[6.1e-14]
Eucgr.L02210.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[6.1e-12]
Eucgr.L02289.1.p	TIGR01571	TIGR01571[A_thal_Cys_rich: uncharacterized Cys-rich domain]	TIGR01571[6.9e-20]
Eucgr.L02292.1.p	TIGR03921	TIGR03921[T7SS_mycosin: type VII secretion-associated serine protease mycosin]	TIGR03921[8.4e-16]
Eucgr.L02370.1.p	TIGR00870	TIGR00870[trp: transient-receptor-potential calcium channel protein]	TIGR00870[5.3e-07]
Eucgr.L02400.1.p	TIGR02240,TIGR03056,TIGR02427,TIGR01249,TIGR01392,TIGR03611,TIGR03343,TIGR03695,TIGR01738,TIGR01250	TIGR02240[PHA_depoly_arom: poly(3-hydroxyalkanoate) depolymerase]; TIGR03056[bchO_mg_che_rel: putative magnesium chelatase accessory protein]; TIGR02427[protocat_pcaD: 3-oxoadipate enol-lactonase]; TIGR01249[pro_imino_pep_1: prolyl aminopeptidase]; TIGR01392[homoserO_Ac_trn: homoserine O-acetyltransferase]; TIGR03611[RutD: pyrimidine utilization protein D]; TIGR03343[biphenyl_bphD: 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase]; TIGR03695[menH_SHCHC: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase]; TIGR01738[bioH: pimelyl-[acyl-carrier protein] methyl ester esterase]; TIGR01250[pro_imino_pep_2: proline-specific peptidase]	TIGR02240[5.1e-07]; TIGR03056[1.2e-13]; TIGR02427[6e-19]; TIGR01249[7.4e-06]; TIGR01392[9.9e-07]; TIGR03611[4.8e-15]; TIGR03343[1.2e-16]; TIGR03695[8.1e-16]; TIGR01738[8.7e-20]; TIGR01250[7e-10]
Eucgr.L02407.1.p	TIGR03921	TIGR03921[T7SS_mycosin: type VII secretion-associated serine protease mycosin]	TIGR03921[9.6e-11]
Eucgr.L02424.1.p	TIGR01096	TIGR01096[3A0103s03R: lysine-arginine-ornithine-binding periplasmic protein]	TIGR01096[4.5e-05]
Eucgr.L02454.1.p	TIGR01379,TIGR00878,TIGR03267,TIGR02124,TIGR01736,TIGR00476	TIGR01379[thiL: thiamine-phosphate kinase]; TIGR00878[purM: phosphoribosylformylglycinamidine cyclo-ligase]; TIGR03267[methan_mark_2: putative methanogenesis marker protein 2]; TIGR02124[hypE: hydrogenase expression/formation protein HypE]; TIGR01736[FGAM_synth_II: phosphoribosylformylglycinamidine synthase II]; TIGR00476[selD: selenide, water dikinase]	TIGR01379[7e-10]; TIGR00878[3.7e-122]; TIGR03267[2.6e-08]; TIGR02124[2.8e-08]; TIGR01736[6.2e-08]; TIGR00476[2.1e-05]
Eucgr.L02517.1.p	TIGR02289	TIGR02289[M3_not_pepF: oligoendopeptidase, M3 family]	TIGR02289[1.1e-05]
Eucgr.L02520.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[3.7e-14]
Eucgr.L02534.1.p	TIGR00817	TIGR00817[tpt: Tpt phosphate/phosphoenolpyruvate translocator]	TIGR00817[5.5e-86]
Eucgr.L02548.1.p	TIGR03903,TIGR03724	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]; TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03903[3.8e-16]; TIGR03724[1.9e-05]
Eucgr.L02651.1.p	TIGR02427,TIGR03100,TIGR03695	TIGR02427[protocat_pcaD: 3-oxoadipate enol-lactonase]; TIGR03100[hydr1_PEP: exosortase A system-associated hydrolase 1]; TIGR03695[menH_SHCHC: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase]	TIGR02427[4.1e-05]; TIGR03100[3.8e-10]; TIGR03695[5.9e-06]
Eucgr.L02677.1.p	TIGR00614,TIGR01389,TIGR04121,TIGR00631	TIGR00614[recQ_fam: ATP-dependent DNA helicase, RecQ family]; TIGR01389[recQ: ATP-dependent DNA helicase RecQ]; TIGR04121[DEXH_lig_assoc: DEXH box helicase, DNA ligase-associated]; TIGR00631[uvrb: excinuclease ABC subunit B]	TIGR00614[1.7e-11]; TIGR01389[4.7e-13]; TIGR04121[2.5e-08]; TIGR00631[1.9e-05]
Eucgr.L02697.1.p	TIGR01426	TIGR01426[MGT: glycosyltransferase, MGT family]	TIGR01426[5.4e-15]
Eucgr.L02704.1.p	TIGR01589	TIGR01589[A_thal_3526: uncharacterized plant-specific domain TIGR01589]	TIGR01589[7.7e-20]
Eucgr.L02726.1.p	TIGR04123	TIGR04123[P_estr_lig_assc: metallophosphoesterase, DNA ligase-associated]	TIGR04123[1.7e-06]
Eucgr.L02746.1.p	TIGR03724	TIGR03724[arch_bud32: Kae1-associated kinase Bud32]	TIGR03724[1.1e-06]
Eucgr.L02786.1.p	TIGR03404	TIGR03404[bicupin_oxalic: bicupin, oxalate decarboxylase family]	TIGR03404[2.2e-05]
Eucgr.L02792.1.p	TIGR00756	TIGR00756[PPR: pentatricopeptide repeat domain]	TIGR00756[2.3e-37]
Eucgr.L02795.1.p	TIGR01104	TIGR01104[V_PPase: V-type H(+)-translocating pyrophosphatase]	TIGR01104[3.5e-278]
Eucgr.L02820.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[1.1e-11]
Eucgr.L02857.1.p	TIGR02240,TIGR03056,TIGR02427,TIGR03611,TIGR03343,TIGR03695,TIGR01738,TIGR01250	TIGR02240[PHA_depoly_arom: poly(3-hydroxyalkanoate) depolymerase]; TIGR03056[bchO_mg_che_rel: putative magnesium chelatase accessory protein]; TIGR02427[protocat_pcaD: 3-oxoadipate enol-lactonase]; TIGR03611[RutD: pyrimidine utilization protein D]; TIGR03343[biphenyl_bphD: 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase]; TIGR03695[menH_SHCHC: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase]; TIGR01738[bioH: pimelyl-[acyl-carrier protein] methyl ester esterase]; TIGR01250[pro_imino_pep_2: proline-specific peptidase]	TIGR02240[7.2e-07]; TIGR03056[7.8e-17]; TIGR02427[1.4e-13]; TIGR03611[1.9e-09]; TIGR03343[7.2e-13]; TIGR03695[2.4e-16]; TIGR01738[3.3e-09]; TIGR01250[2.1e-08]
Eucgr.L02857.2.p	TIGR02240,TIGR03056,TIGR02427,TIGR03611,TIGR03343,TIGR03695,TIGR01738,TIGR01250	TIGR02240[PHA_depoly_arom: poly(3-hydroxyalkanoate) depolymerase]; TIGR03056[bchO_mg_che_rel: putative magnesium chelatase accessory protein]; TIGR02427[protocat_pcaD: 3-oxoadipate enol-lactonase]; TIGR03611[RutD: pyrimidine utilization protein D]; TIGR03343[biphenyl_bphD: 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase]; TIGR03695[menH_SHCHC: 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase]; TIGR01738[bioH: pimelyl-[acyl-carrier protein] methyl ester esterase]; TIGR01250[pro_imino_pep_2: proline-specific peptidase]	TIGR02240[4.3e-07]; TIGR03056[4.2e-17]; TIGR02427[5.4e-14]; TIGR03611[8.1e-10]; TIGR03343[3.1e-13]; TIGR03695[9.2e-17]; TIGR01738[1.4e-09]; TIGR01250[7.9e-09]
Eucgr.L02883.1.p	TIGR02349,TIGR03835	TIGR02349[DnaJ_bact: chaperone protein DnaJ]; TIGR03835[termin_org_DnaJ: terminal organelle assembly protein TopJ]	TIGR02349[8e-14]; TIGR03835[2.6e-09]
Eucgr.L02888.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[2.8e-13]
Eucgr.L02896.1.p	TIGR02238,TIGR03880,TIGR02012,TIGR02239,TIGR02237,TIGR03881,TIGR00416	TIGR02238[recomb_DMC1: meiotic recombinase Dmc1]; TIGR03880[KaiC_arch_3: KaiC domain protein, AF_0351 family]; TIGR02012[tigrfam_recA: protein RecA]; TIGR02239[recomb_RAD51: DNA repair protein RAD51]; TIGR02237[recomb_radB: DNA repair and recombination protein RadB]; TIGR03881[KaiC_arch_4: KaiC domain protein, PAE1156 family]; TIGR00416[sms: DNA repair protein RadA]	TIGR02238[7.8e-07]; TIGR03880[8.1e-07]; TIGR02012[7.4e-82]; TIGR02239[5.3e-06]; TIGR02237[4.8e-13]; TIGR03881[1.7e-08]; TIGR00416[4.8e-07]
Eucgr.L02929.1.p	TIGR01678,TIGR00387,TIGR01679	TIGR01678[FAD_lactone_ox: sugar 1,4-lactone oxidases]; TIGR00387[glcD: glycolate oxidase, subunit GlcD]; TIGR01679[bact_FAD_ox: FAD-linked oxidoreductase]	TIGR01678[9.2e-08]; TIGR00387[2.2e-07]; TIGR01679[4.4e-08]
Eucgr.L02937.1.p	TIGR01941,TIGR02911,TIGR02160	TIGR01941[nqrF: NADH:ubiquinone oxidoreductase, Na(+)-translocating, F subunit]; TIGR02911[sulfite_red_B: sulfite reductase, subunit B]; TIGR02160[PA_CoA_Oxy5: phenylacetate-CoA oxygenase/reductase, PaaK subunit]	TIGR01941[1.3e-15]; TIGR02911[5.7e-08]; TIGR02160[5.1e-21]
Eucgr.L03024.1.p	TIGR03030	TIGR03030[CelA: cellulose synthase catalytic subunit (UDP-forming)]	TIGR03030[3.2e-12]
Eucgr.L03039.1.p	TIGR02349,TIGR03835,TIGR00714	TIGR02349[DnaJ_bact: chaperone protein DnaJ]; TIGR03835[termin_org_DnaJ: terminal organelle assembly protein TopJ]; TIGR00714[hscB: Fe-S protein assembly co-chaperone HscB]	TIGR02349[7.8e-20]; TIGR03835[6.3e-16]; TIGR00714[1.7e-06]
Eucgr.L03071.1.p	TIGR01322	TIGR01322[scrB_fam: sucrose-6-phosphate hydrolase]	TIGR01322[4.8e-47]
Eucgr.L03163.1.p	TIGR01139,TIGR02991,TIGR03945,TIGR02079,TIGR01747,TIGR03528,TIGR01138,TIGR01137,TIGR01127,TIGR01124,TIGR01136	TIGR01139[cysK: cysteine synthase A]; TIGR02991[ectoine_eutB: ectoine utilization protein EutB]; TIGR03945[PLP_SbnA_fam: 2,3-diaminopropionate biosynthesis protein SbnA]; TIGR02079[THD1: threonine dehydratase]; TIGR01747[diampropi_NH3ly: diaminopropionate ammonia-lyase family]; TIGR03528[2_3_DAP_am_ly: diaminopropionate ammonia-lyase]; TIGR01138[cysM: cysteine synthase B]; TIGR01137[cysta_beta: cystathionine beta-synthase]; TIGR01127[ilvA_1Cterm: threonine ammonia-lyase]; TIGR01124[ilvA_2Cterm: threonine ammonia-lyase, biosynthetic]; TIGR01136[cysKM: cysteine synthase]	TIGR01139[4e-116]; TIGR02991[1.4e-06]; TIGR03945[7.4e-54]; TIGR02079[2.9e-08]; TIGR01747[4.3e-06]; TIGR03528[1.2e-05]; TIGR01138[8.6e-80]; TIGR01137[9.8e-78]; TIGR01127[1.5e-14]; TIGR01124[3.2e-11]; TIGR01136[5.6e-111]
Eucgr.L03188.1.p	TIGR01622,TIGR01648,TIGR01659,TIGR01645,TIGR01661,TIGR01628,TIGR01642	TIGR01622[SF-CC1: splicing factor, CC1-like family]; TIGR01648[hnRNP-R-Q: hnRNP-R, Q splicing factor family]; TIGR01659[sex-lethal: sex-lethal family splicing factor]; TIGR01645[half-pint: poly-U binding splicing factor, half-pint family]; TIGR01661[ELAV_HUD_SF: ELAV/HuD family splicing factor]; TIGR01628[PABP-1234: polyadenylate binding protein, human types 1, 2, 3, 4 family]; TIGR01642[U2AF_lg: U2 snRNP auxilliary factor, large subunit, splicing factor]	TIGR01622[4.3e-11]; TIGR01648[2.1e-08]; TIGR01659[9.3e-10]; TIGR01645[1.3e-09]; TIGR01661[1.6e-08]; TIGR01628[2.3e-09]; TIGR01642[4.6e-11]
Eucgr.L03199.1.p	TIGR01241,TIGR01243,TIGR01242	TIGR01241[FtsH_fam: ATP-dependent metallopeptidase HflB]; TIGR01243[CDC48: AAA family ATPase, CDC48 subfamily]; TIGR01242[26Sp45: 26S proteasome subunit P45 family]	TIGR01241[4.5e-08]; TIGR01243[4.4e-06]; TIGR01242[6e-06]
Eucgr.L03257.1.p	TIGR00846,TIGR00378	TIGR00846[caca2: calcium/proton exchanger]; TIGR00378[cax: calcium/proton exchanger]	TIGR00846[1.2e-12]; TIGR00378[2e-09]
Eucgr.L03309.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[6.1e-09]
Eucgr.L03367.1.p	TIGR03404	TIGR03404[bicupin_oxalic: bicupin, oxalate decarboxylase family]	TIGR03404[7.5e-06]
Eucgr.L03436.1.p	TIGR00870	TIGR00870[trp: transient-receptor-potential calcium channel protein]	TIGR00870[2.9e-07]
Eucgr.L03470.1.p	TIGR03903	TIGR03903[TOMM_kin_cyc: TOMM system kinase/cyclase fusion protein]	TIGR03903[2.8e-12]
